fips,year,num_M,num_F
39049,2004,0,1
37183,2012,0,1
48201,2016,1,0
1714000,2015,0,0
4260000,2003,1,0
FL-9 JUDICIAL CIRCUIT,2020,0,0
26125,2016,1,0
04013,2020,1,0
17031,2010,1,0
13089,2008,0,1
17031,2006,1,0
39035,1998,1,0
27053,2006,1,0
04013,2020,1,0
36047,2017,1,0
39035,2002,1,0
06037,2016,1,0
49035,2020,0,1
34003,2020,1,0
12086,2000,1,0
49035,2020,0,1
0634320,2020,0,1
12071,2020,1,0
53033,2021,1,0
26125,2004,1,0
04019,2012,0,1
06037,2020,1,0
13089,2012,1,0
29189,2018,1,0
39035,1994,1,0
0634320,2020,1,0
04019,2020,1,0
26125,2012,0,1
29189,1998,1,0
48113,2018,1,0
13121,2004,1,0
39061,2008,1,0
06085,2018,1,0
06073,1994,1,0
12057,2016,1,0
39049,2016,1,0
0644000,1997,1,0
13089,2012,1,0
36029,2008,1,0
29095,2004,1,0
36029,2008,1,0
1200180,2012,0,1
4260000,2003,1,0
26125,2008,0,1
12057,2020,1,0
39061,2008,1,0
04019,2020,1,0
26099,2020,1,0
06059,1998,1,0
48439,2008,1,0
55025,2018,1,0
29095,2012,1,0
25017,1996,1,0
34013,2020,0,1
04019,2016,0,1
29095,2004,1,0
06037,1992,0,1
1201560,2012,0,1
42003,1991,1,0
55079,2010,1,0
39061,2000,1,0
39035,1992,1,0
34013,2020,1,0
12105,2016,1,0
26099,2012,1,0
4260000,1999,1,0
34013,2020,1,0
17197,2016,1,0
4260000,2003,0,1
1200870,2012,0,1
37119,2018,0,1
39049,2004,0,1
39049,1996,1,0
37183,2020,0,1
48029,2012,1,0
13089,2012,1,0
12099,1996,1,0
29189,2004,1,0
26099,2016,1,0
13067,2016,1,0
39049,1996,0,1
06037,2000,1,0
39061,2020,0,1
13089,2016,1,0
34013,2020,0,1
37119,2012,0,1
48113,2018,1,0
04013,2016,1,0
26099,2016,1,0
4260000,1999,1,0
53053,2020,1,0
13067,2016,1,0
2400480,2020,0,1
06037,2020,0,1
49035,2018,0,1
12095,2008,1,0
13135,2016,1,0
24005,2018,1,0
13089,2016,0,0
37119,2012,0,1
1200180,2004,1,0
49035,2016,1,0
49035,2016,1,0
29095,2012,0,1
06037,1990,1,0
26125,2004,1,0
39061,2016,1,0
53033,1998,1,0
13121,2008,1,0
04013,2016,1,0
1200870,2016,0,1
37183,2020,1,0
39061,1992,1,0
29095,2016,0,1
37183,2008,1,0
06037,2016,1,0
06037,1998,0,0
4260000,1995,1,0
12103,2016,1,0
48439,2012,1,0
KY-30,2012,0,0
1200870,2016,0,1
49035,2020,1,0
37183,2018,1,0
39049,1996,0,1
13135,2016,1,0
36047,2013,1,0
04019,2008,1,0
12011,1994,0,1
27053,2014,1,0
37183,2008,0,1
4260000,2019,1,0
12071,2020,1,0
1200870,2018,0,1
37119,2018,1,0
1150000,2016,1,0
37119,2018,0,1
06085,2018,1,0
37119,2016,1,0
48029,2004,1,0
2400480,2016,0,1
49035,2008,1,0
12103,2012,0,1
12011,1998,0,1
37119,2008,0,1
24033,2018,1,0
13135,2020,0,1
39061,2012,1,0
37119,2012,1,0
4260000,1999,1,0
32003,2010,1,0
48453,2008,1,0
36047,2005,1,0
12009,2020,1,0
26125,1996,1,0
48029,2008,1,0
2400480,2016,0,1
25021,2018,1,0
25025,2016,1,0
04019,2004,0,1
06065,2018,1,0
12057,2018,1,0
26099,2018,1,0
13067,2008,0,1
39061,2004,1,0
20091,2016,1,0
20091,2016,1,0
48439,2014,0,1
13135,2020,0,0
37183,2020,1,0
39061,1992,1,0
06037,2018,1,0
12071,2016,1,0
48439,2014,1,0
48439,2014,1,0
55025,2016,1,0
37119,2016,0,1
27053,2018,1,0
25021,2004,1,0
26099,2012,1,0
53033,2018,1,0
26081,2020,1,0
48201,2020,1,0
13067,2008,1,0
06073,2018,0,0
13089,2004,1,0
39049,1996,1,0
39061,2016,1,0
4260000,2007,1,0
04013,2000,1,0
39061,1992,1,0
12057,2018,1,0
24031,2002,1,0
49035,2018,1,0
2400480,2000,1,0
13135,2020,0,1
53061,2018,1,0
17043,2010,1,0
55079,2006,1,0
48085,2016,1,0
06037,1996,1,0
CO-172,2012,0,0
CO-158,2012,0,0
37183,2020,1,0
25021,2020,1,0
32003,2014,1,0
25017,1996,1,0
37183,2008,1,0
15003,2020,1,0
1517000,2020,1,0
53033,2009,0,1
27053,2006,1,0
48439,2010,1,0
12071,2020,1,0
12057,2018,1,0
26099,2020,0,1
12071,2016,1,0
48201,2012,1,0
34003,2016,1,0
27053,1998,0,1
12103,2004,1,0
29189,2002,1,0
29095,2008,1,0
48439,2010,1,0
48439,2010,1,0
51059,2019,0,1
39049,2000,1,0
12103,2004,1,0
39049,2000,1,0
4260000,1999,1,0
39061,2012,1,0
0666000,1992,0,1
48029,2004,1,0
49035,2018,1,0
04019,2016,1,0
0644000,2013,1,0
39035,1996,1,0
48453,2012,1,0
1201560,2016,0,1
06059,2010,0,1
MO-St. Louis County,2014,0,0
12103,2012,1,0
2400480,2020,0,1
26125,1996,1,0
13067,2012,1,0
24033,2018,1,0
39061,2020,1,0
39049,2016,1,0
0634320,2020,0,0
37183,2016,1,0
17043,2002,1,0
4260000,1999,1,0
06085,2006,0,1
36103,2005,1,0
4260000,1991,0,1
42003,2003,1,0
27053,1998,0,1
34023,2020,0,1
12103,2016,1,0
39061,2020,0,1
41051,2016,1,0
39061,2004,0,1
20091,2008,1,0
12011,2012,1,0
48453,2004,1,0
12103,2008,0,1
36029,2016,1,0
06059,1998,1,0
24031,2010,1,0
32003,2006,0,0
48201,2008,1,0
42003,2007,1,0
39061,1992,1,0
24031,2002,1,0
12057,2004,1,0
32003,2006,1,0
1714000,1995,1,0
55025,2012,1,0
0634320,2016,1,0
34023,2020,1,0
0634320,2018,1,0
4260000,1991,1,0
48113,2014,1,0
39061,2008,1,0
12011,2004,1,0
12011,2016,1,0
37183,2016,1,0
53033,2017,1,0
1201560,2020,0,1
08031,2012,1,0
24031,2010,1,0
26125,1992,0,1
39049,2004,1,0
48113,2002,1,0
12057,2004,1,0
04013,2010,1,0
06071,2018,1,0
13067,2012,1,0
24005,2002,0,1
13135,2008,1,0
4260000,1999,0,1
53033,1993,1,0
39035,2002,1,0
13067,2004,0,1
13135,2012,1,0
20091,2004,1,0
39049,2020,1,0
12099,2012,0,1
4260000,1999,1,0
13067,2020,1,0
12099,2004,1,0
36047,2001,1,0
32003,2010,1,0
06059,2014,1,0
06085,1998,0,1
39061,2020,0,1
34029,2020,1,0
4260000,1991,1,0
26099,2000,1,0
12057,2008,1,0
39049,1992,1,0
48439,1996,1,0
04013,2020,1,0
48113,2002,0,1
06001,2018,1,0
04013,2020,1,0
1200870,2008,0,1
25027,1992,1,0
39061,2012,1,0
37119,2008,1,0
06073,2014,0,1
39061,2016,1,0
39035,1992,1,0
39049,2000,0,1
36059,1993,1,0
29095,2000,1,0
26099,2020,1,0
12057,2004,1,0
12103,2008,1,0
01073,2010,1,0
13135,2008,1,0
20091,2012,1,0
10003,2020,1,0
39035,2008,0,1
53033,2005,1,0
37119,2008,1,0
KY-30TH,2018,0,0
08059,2018,1,0
4835000,1989,0,1
13135,2012,1,0
48113,2010,1,0
20091,2012,1,0
36059,2001,1,0
2400480,2016,0,1
04019,2000,1,0
1200870,2014,0,1
48201,2020,1,0
13135,2012,0,1
08005,2000,1,0
0CO-2,2016,0,0
36059,1997,1,0
39049,2020,1,0
12057,2012,0,1
06037,1992,0,1
1200180,2002,0,1
39113,2004,1,0
24033,2010,1,0
24031,2006,1,0
06085,2006,0,1
48029,2000,1,0
21111,2018,1,0
25027,2004,1,0
48029,2018,1,0
12095,2018,1,0
39061,1996,1,0
12103,2020,1,0
48439,2002,1,0
48439,2002,1,0
39049,1992,0,1
39049,1992,0,1
4260000,2019,0,1
0666000,1992,1,0
06037,2004,1,0
12103,2006,1,0
06037,1992,0,1
48113,2002,1,0
CO-172,2008,0,0
34003,2018,1,0
CO-172,2012,0,0
24033,2010,0,1
0644000,2005,1,0
13067,2020,0,1
25017,1992,1,0
4260000,2015,1,0
29189,1998,1,0
2400480,2020,1,0
CO-158,2008,0,0
48113,2010,1,0
12057,2010,1,0
04013,2016,1,0
55079,1994,1,0
42101,2007,1,0
0666000,2000,1,0
26125,2000,1,0
36059,1997,1,0
49035,2016,1,0
35001,2020,0,0
48085,2012,1,0
24033,2010,1,0
FL-12 JUDICIAL CIRCUIT,2020,0,0
36103,2007,1,0
4260000,1991,1,0
48201,2016,1,0
4835000,1989,1,0
39061,1992,1,0
26081,2008,1,0
26099,2004,1,0
48113,2010,1,0
06037,1998,1,0
2400480,2006,1,0
26081,2004,1,0
4835000,1989,1,0
24031,2006,1,0
36059,1989,1,0
0634320,1992,0,1
12103,2012,0,1
24031,2006,1,0
15003,2016,1,0
12011,1992,1,0
39061,2020,0,0
17043,2006,1,0
39049,2016,0,1
08059,2012,0,1
48201,2004,1,0
21111,2018,0,1
39113,2020,1,0
39061,1996,1,0
48113,2014,0,1
34013,2012,1,0
15003,2020,1,0
4835000,1991,1,0
34025,2020,0,1
42003,2003,1,0
12057,1992,0,1
08059,2012,1,0
CO-155,2012,0,0
48339,2020,1,0
1150000,2018,1,0
37183,2012,1,0
36061,2013,1,0
39061,2020,1,0
49049,2020,1,0
0634320,2012,0,1
53053,2020,1,0
34003,2020,0,1
1201560,2008,0,1
39061,2016,0,1
18097,2018,1,0
12103,2008,1,0
55133,2020,0,1
34003,2020,1,0
42003,2007,1,0
1200870,2018,1,0
06037,2018,0,1
37183,2012,1,0
34025,2020,1,0
12086,1996,1,0
12095,2004,0,0
12103,2008,0,1
13067,2020,1,0
48113,2002,0,1
39049,1992,1,0
34003,2004,1,0
24031,2014,1,0
24033,2014,0,1
4260000,2019,1,0
36061,2009,1,0
29095,2016,1,0
39035,2014,1,0
39049,2004,0,1
06037,2008,1,0
12095,2008,1,0
48113,2014,1,0
08059,2020,1,0
CO-001,2020,0,0
53053,2012,0,1
10003,2016,0,1
24033,2014,1,0
1201560,2018,0,1
53033,1989,1,0
FL-195,1996,0,0
42091,2019,1,0
37183,2018,1,0
48113,2006,1,0
51059,2019,1,0
04013,2004,1,0
1201560,2008,0,1
17043,2006,1,0
53033,2007,1,0
48439,2006,1,0
48439,2006,1,0
25009,2004,1,0
34003,2004,0,1
26099,1992,1,0
26081,2012,1,0
10003,2008,1,0
48085,2018,1,0
48085,2018,1,0
32003,1998,1,0
39061,2000,1,0
04013,2020,1,0
53053,2018,0,1
49035,2008,1,0
39061,2016,1,0
24031,2006,0,1
13089,2004,1,0
CO-172,2004,0,0
34003,2004,1,0
35001,2012,0,1
48201,2004,1,0
36059,1993,1,0
24031,1998,1,0
39113,2020,1,0
48113,2006,1,0
13135,2004,1,0
48201,2012,1,0
48201,2008,1,0
34003,2018,1,0
39113,2004,1,0
36059,1989,1,0
36103,2017,1,0
1200870,2008,1,0
29189,2020,1,0
29189,2020,1,0
25021,2006,1,0
48121,2016,1,0
MD-Baltimore County,2014,0,0
12095,1996,1,0
53033,1989,1,0
39061,1994,1,0
10003,2008,1,0
04019,2008,0,1
39049,2010,0,1
29189,2010,1,0
36103,2013,1,0
17031,1990,1,0
34013,2018,1,0
24031,2006,1,0
FL-203,2012,0,0
29095,2020,0,1
48113,2010,1,0
06037,1996,0,1
4835000,1997,1,0
34003,2004,1,0
26125,1996,1,0
FL-209,2012,0,0
32003,2006,1,0
08031,2008,1,0
34003,2016,1,0
39061,1994,1,0
06059,1998,1,0
0666000,2000,1,0
4260000,2019,1,0
4260000,2019,0,1
53053,2008,1,0
34003,2018,0,1
04019,2000,0,1
06037,1992,1,0
49035,2016,0,1
FL-7 JUDICIAL CIRCUIT,2020,0,0
4260000,2003,1,0
13135,2004,1,0
36103,2013,1,0
34013,2018,1,0
39049,2014,0,1
10003,2020,0,1
04013,2004,1,0
06085,2014,1,0
34003,2016,0,1
39035,2010,1,0
12103,2012,1,0
48113,2006,1,0
25009,1992,1,0
25005,2016,1,0
12099,2008,1,0
37119,2016,1,0
04019,2004,1,0
25005,2016,1,0
39113,2008,1,0
48029,2000,1,0
12105,2020,1,0
24005,2018,0,0
26081,2020,0,1
0644000,2013,0,1
39049,1992,1,0
39153,2004,1,0
37183,2014,1,0
42003,2017,1,0
4159000,2020,1,0
39061,2020,1,0
48085,2008,1,0
13067,2020,0,1
39113,2012,1,0
48113,2006,0,1
48201,2018,1,0
4260000,2019,1,0
48453,2004,1,0
12101,2016,1,0
4260000,1991,1,0
04013,2020,1,0
12071,2008,1,0
48029,2010,1,0
CO-158,2004,0,0
1201560,2018,0,1
39049,2006,0,1
24031,2006,1,0
04019,2012,1,0
08059,2020,0,1
25025,2018,0,1
34003,2016,0,1
1200870,2012,1,0
24031,2002,0,1
24033,2014,1,0
06059,2006,1,0
25021,2002,1,0
51059,2019,1,0
12095,2018,1,0
24033,2006,1,0
24031,2010,1,0
35001,2016,0,0
0NM-2,2016,0,0
24005,2014,0,0
06001,2006,1,0
49035,2012,1,0
21111,2018,1,0
37183,2008,1,0
12071,2016,1,0
29095,2000,1,0
12057,2000,1,0
24031,2006,1,0
36103,2009,1,0
48029,1996,1,0
35001,2004,0,1
24031,2002,1,0
29095,2018,1,0
12071,2018,1,0
36061,2017,1,0
CO-172,2008,0,0
48113,1998,1,0
04013,2020,0,1
17197,2020,0,1
29095,1992,1,0
39113,2016,1,0
12103,2004,0,1
12095,2016,1,0
12009,2008,1,0
24031,2002,1,0
12009,2012,1,0
12071,2004,1,0
36059,2005,1,0
06067,2010,1,0
42003,2011,1,0
2400480,2012,1,0
39049,1992,1,0
39049,2012,1,0
34013,2008,1,0
0666000,2016,1,0
12103,2004,1,0
48201,2000,1,0
17043,2018,1,0
42003,2019,1,0
34003,2008,0,1
04013,2020,0,1
06037,2000,0,1
49035,2018,1,0
06037,2002,1,0
37183,2010,1,0
12101,2020,0,1
06001,2006,1,0
48157,2020,1,0
13067,2020,1,0
25009,2014,1,0
39061,2012,1,0
36029,1991,1,0
25027,2014,1,0
39049,2008,0,1
20091,2000,1,0
5101260,2019,0,1
39049,2000,0,1
26099,2014,1,0
24031,2010,1,0
24005,1998,0,1
25009,2016,1,0
55025,2004,1,0
2404000,2020,1,0
34023,2016,0,1
26099,1996,1,0
42003,1999,1,0
12103,2012,1,0
FL-200,2008,0,0
13067,2016,1,0
17043,2014,1,0
17043,2014,1,0
24033,2006,1,0
06001,2010,1,0
39113,2012,1,0
37183,2004,0,1
06067,2010,1,0
12057,2014,1,0
06001,2010,0,1
13135,2020,1,0
39049,2012,1,0
2148000,2018,1,0
24031,2010,0,1
39113,2016,1,0
25017,1992,1,0
12057,2004,0,1
06037,2000,1,0
0634320,2018,1,0
48439,2002,1,0
48201,2010,1,0
48029,2006,1,0
36103,2009,1,0
37183,2014,1,0
0634320,1996,1,0
0666000,2005,1,0
39113,2000,1,0
53063,2018,1,0
37183,2014,0,1
06073,2020,0,1
25017,1996,1,0
20091,2020,1,0
1201560,2018,1,0
39061,2016,1,0
36029,2016,1,0
49035,2012,1,0
26099,2004,1,0
45079,2020,0,0
4835000,1989,0,1
39061,1992,1,0
04019,2016,1,0
55133,2016,0,1
39061,2004,0,1
12057,2014,0,1
4835000,1991,0,1
NC-10,2014,0,0
12011,1992,1,0
17043,2018,1,0
53053,2004,1,0
39049,2008,1,0
36059,1993,1,0
34013,2008,0,1
42003,2015,1,0
0634320,2020,0,1
13067,2008,1,0
25021,1992,1,0
29189,2010,1,0
08041,2018,1,0
34003,2008,1,0
39061,2000,1,0
12009,2004,1,0
13121,2004,1,0
39049,2000,1,0
1150000,2012,1,0
1201560,2016,1,0
21111,2014,1,0
42003,2003,1,0
